Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
02/02/2022,United States,2020,1,2020/1/4,60173,55007,843,11569,1829,2537,1559,3501,1067,1094,629,14202,3110,0,0
02/02/2022,United States,2020,2,2020/1/11,60733,55754,861,11963,1941,2566,1528,3709,1035,1092,649,13911,3188,1,1
02/02/2022,United States,2020,3,2020/1/18,59369,54519,829,11701,1819,2491,1484,3527,992,1121,610,13595,3256,2,1
02/02/2022,United States,2020,4,2020/1/25,59158,54396,828,11879,1864,2517,1488,3403,979,1107,637,13610,3185,2,1
02/02/2022,United States,2020,5,2020/2/1,58826,53996,811,11963,1828,2480,1411,3313,981,1074,613,13463,3084,0,0
02/02/2022,United States,2020,6,2020/2/8,59487,54414,806,11704,1957,2515,1464,3413,974,1135,599,14005,3056,3,2
02/02/2022,United States,2020,7,2020/2/15,58808,53966,792,11806,1848,2537,1513,3477,979,1070,616,13640,3088,5,2
02/02/2022,United States,2020,8,2020/2/22,58906,53983,779,11780,1880,2515,1461,3454,968,1059,608,13630,3083,6,6
02/02/2022,United States,2020,9,2020/2/29,59330,54313,813,11790,1831,2519,1507,3460,1011,1092,677,13712,3126,9,9
02/02/2022,United States,2020,10,2020/3/7,59692,54384,811,11712,1867,2511,1608,3470,1002,1071,654,13684,3097,38,34
02/02/2022,United States,2020,11,2020/3/14,58667,53526,756,11568,1743,2445,1641,3390,993,1078,643,13435,3165,60,55
02/02/2022,United States,2020,12,2020/3/21,59239,54316,840,11732,1831,2514,1740,3385,1021,1105,619,13212,3066,588,550
02/02/2022,United States,2020,13,2020/3/28,63013,58229,847,11782,2044,2749,1783,3519,1064,1024,629,13708,3067,3217,3035
02/02/2022,United States,2020,14,2020/4/4,72281,67434,947,11591,2297,2871,1849,3538,1027,1038,689,14943,3165,10134,9632
02/02/2022,United States,2020,15,2020/4/11,79077,73986,833,11549,2354,2963,1615,3441,1017,1120,665,15760,3191,16324,15509
02/02/2022,United States,2020,16,2020/4/18,76794,71882,745,11210,2270,2899,1233,3195,916,1098,669,14567,3204,17203,16294
02/02/2022,United States,2020,17,2020/4/25,73921,68745,735,11366,2085,2804,1138,2994,887,987,674,13863,3058,15554,14657
02/02/2022,United States,2020,18,2020/5/2,69293,63922,739,11097,1935,2727,1009,2928,851,961,547,13003,3042,13217,12432
02/02/2022,United States,2020,19,2020/5/9,66803,61165,720,11014,1972,2498,864,2808,855,938,589,13167,2848,11237,10458
02/02/2022,United States,2020,20,2020/5/16,64468,58974,679,11269,1969,2432,857,2770,787,976,564,12733,2959,9237,8495
02/02/2022,United States,2020,21,2020/5/23,61619,56007,713,11116,1834,2417,804,2675,743,917,571,12788,2827,7248,6593
02/02/2022,United States,2020,22,2020/5/30,59655,53978,654,10903,1813,2261,751,2633,759,893,576,12444,2851,6172,5593
02/02/2022,United States,2020,23,2020/6/6,58905,52931,729,11081,1727,2302,701,2563,779,904,557,12470,2791,5058,4518
02/02/2022,United States,2020,24,2020/6/13,58015,52267,693,11130,1741,2326,700,2502,737,923,584,12412,2838,4232,3729
02/02/2022,United States,2020,25,2020/6/20,58000,52216,685,11157,1792,2362,756,2564,761,932,612,12417,2923,3851,3347
02/02/2022,United States,2020,26,2020/6/27,58504,52640,719,11356,1766,2288,722,2539,775,952,577,12512,2959,3844,3332
02/02/2022,United States,2020,27,2020/7/4,59813,53798,682,11298,1932,2361,658,2623,780,985,593,12868,2833,4552,4048
02/02/2022,United States,2020,28,2020/7/11,61932,55840,764,11333,1954,2472,739,2614,751,915,667,13027,2921,5785,5236
02/02/2022,United States,2020,29,2020/7/18,63158,57132,708,11371,1886,2501,767,2647,712,984,666,12866,2981,7197,6530
02/02/2022,United States,2020,30,2020/7/25,64256,58397,684,11553,1957,2510,781,2559,731,969,674,12943,2913,8247,7518
02/02/2022,United States,2020,31,2020/8/1,64223,58272,689,11513,1989,2502,760,2737,779,961,628,12830,2989,8306,7612
02/02/2022,United States,2020,32,2020/8/8,63702,57823,784,11529,1797,2434,781,2594,730,909,677,12816,3036,7870,7182
02/02/2022,United States,2020,33,2020/8/15,63629,57746,736,11703,1892,2527,754,2655,798,968,653,12839,2946,7263,6560
02/02/2022,United States,2020,34,2020/8/22,62566,56609,735,11518,1935,2566,696,2643,782,967,639,12770,2930,6387,5747
02/02/2022,United States,2020,35,2020/8/29,61088,55330,726,11575,1882,2430,678,2558,745,983,622,12472,2994,5753,5151
02/02/2022,United States,2020,36,2020/9/5,60231,54246,701,11375,1837,2506,733,2552,801,929,581,12511,2862,5019,4434
02/02/2022,United States,2020,37,2020/9/12,59645,53940,697,11468,1897,2330,681,2559,748,928,613,12352,3046,4627,4077
02/02/2022,United States,2020,38,2020/9/19,59734,54141,744,11630,1861,2373,716,2518,778,921,639,12693,2948,4279,3763
02/02/2022,United States,2020,39,2020/9/26,60593,55056,764,11861,1843,2499,724,2672,786,923,595,12707,3076,4301,3793
02/02/2022,United States,2020,40,2020/10/3,59775,54099,717,11423,1895,2414,763,2578,719,943,658,12644,2886,4244,3698
02/02/2022,United States,2020,41,2020/10/10,61756,55937,757,11828,1895,2515,725,2614,799,958,638,12806,3123,4821,4277
02/02/2022,United States,2020,42,2020/10/17,60616,55193,776,11319,1843,2538,724,2598,815,1023,603,12575,3039,5200,4591
02/02/2022,United States,2020,43,2020/10/24,62164,56839,728,11677,1835,2572,766,2698,796,944,610,12866,3078,5996,5328
02/02/2022,United States,2020,44,2020/10/31,63412,58069,699,11530,1937,2460,793,2571,832,921,588,13160,3104,7026,6256
02/02/2022,United States,2020,45,2020/11/7,67541,61724,765,11807,1960,2664,800,2893,814,1028,674,13668,3158,8763,7844
02/02/2022,United States,2020,46,2020/11/14,68793,63210,795,11745,2024,2737,846,2753,858,1022,604,13460,3174,10653,9581
02/02/2022,United States,2020,47,2020/11/21,71657,66240,818,11632,2117,2655,830,2816,857,1032,690,13645,3215,13360,12070
02/02/2022,United States,2020,48,2020/11/28,73268,67906,773,11395,2155,2774,810,2753,861,1043,695,13555,3127,15626,14134
02/02/2022,United States,2020,49,2020/12/5,77384,71965,844,11357,2214,2843,915,2834,903,1035,709,14299,3313,18568,16854
02/02/2022,United States,2020,50,2020/12/12,81974,76420,836,11904,2301,2934,952,3033,969,1086,738,14570,3479,20926,19066
02/02/2022,United States,2020,51,2020/12/19,82872,77504,840,11780,2355,3060,948,2947,920,1020,725,14749,3466,22328,20424
02/02/2022,United States,2020,52,2020/12/26,84318,78700,857,11693,2327,2982,979,2861,922,1124,784,14835,3385,23386,21366
02/02/2022,United States,2020,53,2021/1/2,86974,81085,894,11681,2446,3074,1010,3057,903,1109,745,15214,3505,24877,22742
02/02/2022,United States,2021,1,2021/1/9,87095,81252,852,11337,2378,2949,1027,2957,938,1157,742,15097,3372,25990,23904
02/02/2022,United States,2021,2,2021/1/16,87420,81651,830,11855,2471,3001,1003,2936,965,1224,753,14996,3535,25714,23491
02/02/2022,United States,2021,3,2021/1/23,83686,78144,842,11582,2216,2934,929,2815,902,1187,734,14604,3445,23703,21630
02/02/2022,United States,2021,4,2021/1/30,79200,73696,784,11694,2184,2651,908,2780,956,1166,707,14271,3295,20339,18395
02/02/2022,United States,2021,5,2021/2/6,76501,70653,834,11602,2100,2596,847,2860,927,1131,752,14406,3322,17046,15239
02/02/2022,United States,2021,6,2021/2/13,71521,65926,832,11494,2087,2397,860,2660,896,1114,691,13946,3398,13531,11995
02/02/2022,United States,2021,7,2021/2/20,69505,63994,821,11417,2304,2496,880,2703,862,1073,696,14245,3187,10819,9490
02/02/2022,United States,2021,8,2021/2/27,66729,60994,867,11625,2002,2484,796,2625,890,1082,656,13597,3219,8655,7503
02/02/2022,United States,2021,9,2021/3/6,63707,57972,790,11436,1984,2307,844,2581,817,1065,660,13304,3179,6724,5766
02/02/2022,United States,2021,10,2021/3/13,61851,56241,840,11414,1912,2299,782,2630,861,1018,669,13185,3095,5720,4784
02/02/2022,United States,2021,11,2021/3/20,60363,54471,768,11297,1977,2183,753,2555,849,985,708,12769,3083,4896,4084
02/02/2022,United States,2021,12,2021/3/27,60794,55016,742,11427,1915,2252,696,2673,844,1031,709,13089,3121,4446,3761
02/02/2022,United States,2021,13,2021/4/3,58674,52940,702,11100,1942,2049,704,2513,847,1012,697,12542,2952,4198,3520
02/02/2022,United States,2021,14,2021/4/10,61001,54743,716,11571,1901,2181,751,2614,779,1037,737,12960,3061,4313,3637
02/02/2022,United States,2021,15,2021/4/17,59126,53274,684,11385,1808,1965,687,2468,772,979,696,12786,3114,4444,3759
02/02/2022,United States,2021,16,2021/4/24,60233,54330,728,11572,1906,2039,705,2566,861,979,675,12969,3102,4596,3923
02/02/2022,United States,2021,17,2021/5/1,59808,54065,712,11616,1906,2125,691,2616,837,995,678,12793,2939,4168,3588
02/02/2022,United States,2021,18,2021/5/8,58969,53024,699,11358,1889,2098,702,2582,844,911,728,12651,2972,3997,3430
02/02/2022,United States,2021,19,2021/5/15,58455,52669,689,11541,1864,2014,669,2520,837,968,715,12396,2976,3688,3165
02/02/2022,United States,2021,20,2021/5/22,58697,52686,714,11598,1711,2164,641,2617,863,973,742,12359,3000,3235,2741
02/02/2022,United States,2021,21,2021/5/29,57290,51432,729,11275,1779,2006,658,2568,837,1020,722,12446,2922,2772,2299
02/02/2022,United States,2021,22,2021/6/5,57373,51232,700,11483,1728,2037,632,2580,795,955,759,12405,2867,2345,1992
02/02/2022,United States,2021,23,2021/6/12,56882,50630,733,11296,1803,2078,665,2604,817,950,753,12344,2852,2038,1675
02/02/2022,United States,2021,24,2021/6/19,57180,51035,727,11529,1791,2089,641,2573,874,998,780,12551,2908,1773,1430
02/02/2022,United States,2021,25,2021/6/26,56836,50753,748,11488,1848,1977,697,2642,899,941,811,12355,2953,1631,1309
02/02/2022,United States,2021,26,2021/7/3,57406,51188,745,11566,1814,2053,622,2639,816,969,861,12530,3009,1541,1230
02/02/2022,United States,2021,27,2021/7/10,57101,50778,774,11500,1710,1970,715,2593,884,1001,844,12437,2879,1639,1339
02/02/2022,United States,2021,28,2021/7/17,57076,51112,774,11566,1762,2022,716,2709,840,958,816,12175,2949,1986,1686
02/02/2022,United States,2021,29,2021/7/24,58272,52278,780,11526,1786,2030,682,2678,779,939,883,12405,2986,2759,2410
02/02/2022,United States,2021,30,2021/7/31,60174,54216,766,11629,1765,2137,741,2577,839,974,934,12708,2906,4109,3715
02/02/2022,United States,2021,31,2021/8/7,63104,56970,748,11669,1884,2133,722,2788,811,985,939,12732,2955,6459,5899
02/02/2022,United States,2021,32,2021/8/14,66280,60395,787,11850,1979,2135,764,2670,846,927,1121,12956,2920,9344,8705
02/02/2022,United States,2021,33,2021/8/21,69257,63392,751,11758,1921,2167,761,2759,847,1012,1128,12914,3037,12129,11300
02/02/2022,United States,2021,34,2021/8/28,71330,65443,734,11656,1973,2248,795,2693,916,1021,1208,13140,2950,14087,13185
02/02/2022,United States,2021,35,2021/9/4,72635,66810,762,11581,1962,2283,741,2658,831,1016,1287,13132,3035,15386,14427
02/02/2022,United States,2021,36,2021/9/11,72727,66793,815,11391,1993,2233,843,2656,891,1021,1351,13140,3070,15260,14296
02/02/2022,United States,2021,37,2021/9/18,72442,66785,802,11688,1995,2353,825,2749,916,1041,1411,12834,3007,15092,14043
02/02/2022,United States,2021,38,2021/9/25,71175,65651,795,11607,1981,2299,803,2690,856,1026,1437,12713,3049,14179,13207
02/02/2022,United States,2021,39,2021/10/2,70074,64568,850,11720,1925,2258,817,2692,867,1049,1561,12883,3008,12593,11614
02/02/2022,United States,2021,40,2021/10/9,68102,62806,834,11596,1904,2254,778,2721,846,968,1615,12901,3064,11032,10134
02/02/2022,United States,2021,41,2021/10/16,66396,61335,819,11516,1817,2144,833,2743,865,1011,1708,12771,3050,9710,8863
02/02/2022,United States,2021,42,2021/10/23,65882,60921,858,11543,1843,2256,791,2674,922,992,1802,12774,3110,8801,7966
02/02/2022,United States,2021,43,2021/10/30,65344,60458,809,11576,1955,2255,818,2621,854,1056,1980,12915,3142,7834,7065
02/02/2022,United States,2021,44,2021/11/6,64493,59565,768,11346,1909,2252,869,2770,903,1028,2356,12736,3135,7088,6335
02/02/2022,United States,2021,45,2021/11/13,65242,60710,802,11536,1939,2413,785,2675,920,1024,2464,13016,3178,7010,6328
02/02/2022,United States,2021,46,2021/11/20,64596,60266,775,11301,1872,2350,856,2690,884,1017,2595,12970,3105,7136,6377
02/02/2022,United States,2021,47,2021/11/27,65274,61331,856,11286,1926,2358,824,2716,903,981,2924,13065,3171,7643,6870
02/02/2022,United States,2021,48,2021/12/4,66924,62943,841,11428,1892,2320,872,2741,887,1101,3152,13124,3229,8487,7728
02/02/2022,United States,2021,49,2021/12/11,67982,64176,752,11511,1901,2280,981,2884,925,1032,3253,13301,3187,9307,8466
02/02/2022,United States,2021,50,2021/12/18,66211,62774,794,10995,1890,2291,915,2782,912,1034,3348,12793,3131,9630,8815
02/02/2022,United States,2021,51,2021/12/25,66036,62938,778,11063,1786,2386,959,2845,887,1046,3509,12863,3073,9632,8758
02/02/2022,United States,2021,52,2022/1/1,65969,63095,783,10628,1888,2284,998,2808,855,1083,3706,12710,3003,10336,9373
02/02/2022,United States,2022,1,2022/1/8,62226,60085,710,9698,1674,2164,931,2715,827,961,3638,12042,2717,11662,10409
02/02/2022,United States,2022,2,2022/1/15,52179,50899,510,7803,1378,2087,666,2151,678,764,3024,9683,2320,11742,10524
02/02/2022,United States,2022,3,2022/1/22,38357,37624,302,5525,1024,1451,493,1563,488,552,2365,6973,1714,9587,8518
02/02/2022,Alabama,2020,1,2020/1/4,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0
02/02/2022,Alabama,2020,2,2020/1/11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0
02/02/2022,Alabama,2020,3,2020/1/18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0
02/02/2022,Alabama,2020,4,2020/1/25,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0
02/02/2022,Alabama,2020,5,2020/2/1,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0
02/02/2022,Alabama,2020,6,2020/2/8,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0
02/02/2022,Alabama,2020,7,2020/2/15,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0
02/02/2022,Alabama,2020,8,2020/2/22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0
02/02/2022,Alabama,2020,9,2020/2/29,1164,1093,20,212,28,62,30,88,20,21,25,294,60,,
02/02/2022,Alabama,2020,10,2020/3/7,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0
02/02/2022,Alabama,2020,11,2020/3/14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0
02/02/2022,Alabama,2020,12,2020/3/21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,
02/02/2022,Alabama,2020,13,2020/3/28,1073,989,15,188,23,67,26,75,24,15,21,244,69,23,20
02/02/2022,Alabama,2020,14,2020/4/4,1156,1077,27,202,34,74,23,67,24,22,25,257,68,49,45
02/02/2022,Alabama,2020,15,2020/4/11,1135,1056,25,166,31,63,18,60,20,17,28,265,64,81,77
02/02/2022,Alabama,2020,16,2020/4/18,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85
02/02/2022,Alabama,2020,17,2020/4/25,1139,1037,20,200,28,55,24,53,12,17,12,265,63,85,78
02/02/2022,Alabama,2020,18,2020/5/2,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75
02/02/2022,Alabama,2020,19,2020/5/9,1171,1084,17,201,28,45,12,58,18,15,22,305,52,116,105
02/02/2022,Alabama,2020,20,2020/5/16,1148,1049,19,203,29,47,15,71,17,21,22,259,49,96,89
02/02/2022,Alabama,2020,21,2020/5/23,1153,1055,22,192,22,62,18,53,15,21,25,282,55,82,78
02/02/2022,Alabama,2020,22,2020/5/30,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99
02/02/2022,Alabama,2020,23,2020/6/6,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86
02/02/2022,Alabama,2020,24,2020/6/13,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75
02/02/2022,Alabama,2020,25,2020/6/20,1090,1007,29,198,22,48,12,62,16,17,25,257,55,88,81
02/02/2022,Alabama,2020,26,2020/6/27,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95
02/02/2022,Alabama,2020,27,2020/7/4,1201,1112,14,221,30,59,13,60,,18,25,296,49,125,119
02/02/2022,Alabama,2020,28,2020/7/11,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122
02/02/2022,Alabama,2020,29,2020/7/18,1289,1201,23,203,24,68,22,71,17,19,24,273,66,192,172
02/02/2022,Alabama,2020,30,2020/7/25,1333,1257,21,212,28,65,17,69,10,20,22,285,78,251,241
02/02/2022,Alabama,2020,31,2020/8/1,1364,1269,15,198,23,56,25,74,21,20,15,310,71,263,238
02/02/2022,Alabama,2020,32,2020/8/8,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253
02/02/2022,Alabama,2020,33,2020/8/15,1305,1207,,166,26,60,20,68,21,15,24,291,74,230,214
02/02/2022,Alabama,2020,34,2020/8/22,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197
02/02/2022,Alabama,2020,35,2020/8/29,1216,1129,19,191,24,54,17,62,19,20,22,249,56,185,175
02/02/2022,Alabama,2020,36,2020/9/5,1216,1132,22,212,24,61,14,65,12,15,12,258,60,156,142
02/02/2022,Alabama,2020,37,2020/9/12,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130
02/02/2022,Alabama,2020,38,2020/9/19,1200,1132,18,226,20,56,17,69,20,20,15,257,62,139,134
02/02/2022,Alabama,2020,39,2020/9/26,1183,1109,21,203,35,65,20,62,13,15,22,261,58,105,100
02/02/2022,Alabama,2020,40,2020/10/3,1103,1010,14,181,28,47,20,55,11,20,10,260,47,111,99
02/02/2022,Alabama,2020,41,2020/10/10,1204,1120,15,189,28,58,18,63,20,21,20,303,61,137,127
02/02/2022,Alabama,2020,42,2020/10/17,1190,1114,20,198,28,60,12,59,19,21,18,259,69,126,112
02/02/2022,Alabama,2020,43,2020/10/24,1142,1056,18,200,16,54,20,54,16,19,15,276,47,119,112
02/02/2022,Alabama,2020,44,2020/10/31,1169,1093,22,187,23,62,23,47,23,12,20,278,60,131,119
02/02/2022,Alabama,2020,45,2020/11/7,1277,1183,15,215,27,54,14,54,18,23,21,296,65,151,141
02/02/2022,Alabama,2020,46,2020/11/14,1269,1186,16,209,27,64,13,62,19,24,21,289,58,176,165
02/02/2022,Alabama,2020,47,2020/11/21,1275,1176,11,195,29,69,17,58,13,27,22,267,61,168,155
02/02/2022,Alabama,2020,48,2020/11/28,1326,1237,24,206,26,57,17,64,14,27,24,291,54,202,186
02/02/2022,Alabama,2020,49,2020/12/5,1355,1259,30,177,32,63,14,66,28,14,22,300,66,251,239
02/02/2022,Alabama,2020,50,2020/12/12,1598,1509,21,228,47,82,21,56,23,24,25,299,70,378,362
02/02/2022,Alabama,2020,51,2020/12/19,1584,1485,13,195,31,71,31,69,17,26,29,310,70,390,363
02/02/2022,Alabama,2020,52,2020/12/26,1626,1554,23,195,46,74,17,66,25,25,25,329,60,452,422
02/02/2022,Alabama,2020,53,2021/1/2,1804,1703,22,200,35,79,21,70,26,26,37,325,77,509,480
02/02/2022,Alabama,2021,1,2021/1/9,1809,1706,21,223,36,70,19,79,27,24,33,336,63,546,527
02/02/2022,Alabama,2021,2,2021/1/16,1832,1742,16,211,47,67,25,62,22,24,28,346,67,595,569
02/02/2022,Alabama,2021,3,2021/1/23,1790,1688,16,194,39,63,19,64,26,33,28,336,63,579,546
02/02/2022,Alabama,2021,4,2021/1/30,1637,1559,20,206,37,63,20,74,24,22,21,311,63,490,460
02/02/2022,Alabama,2021,5,2021/2/6,1508,1409,22,216,24,66,23,69,19,22,26,302,62,345,332
02/02/2022,Alabama,2021,6,2021/2/13,1431,1337,20,201,30,66,15,67,24,19,20,326,77,265,249
02/02/2022,Alabama,2021,7,2021/2/20,1332,1252,31,196,37,62,20,44,27,18,21,312,62,214,192
02/02/2022,Alabama,2021,8,2021/2/27,1313,1218,21,182,21,57,22,59,18,14,19,324,74,170,152
02/02/2022,Alabama,2021,9,2021/3/6,1159,1051,18,202,21,50,22,42,27,26,18,260,58,110,93
02/02/2022,Alabama,2021,10,2021/3/13,1189,1090,12,176,25,46,21,65,16,25,27,265,53,104,93
02/02/2022,Alabama,2021,11,2021/3/20,1057,976,27,166,24,60,18,49,15,22,20,233,49,81,72
02/02/2022,Alabama,2021,12,2021/3/27,1189,1072,28,156,34,47,22,58,24,19,24,300,92,78,68
02/02/2022,Alabama,2021,13,2021/4/3,1104,1004,18,189,26,41,19,69,15,18,26,239,64,66,56
02/02/2022,Alabama,2021,14,2021/4/10,1208,1095,20,204,28,47,20,55,27,23,23,289,69,53,49
02/02/2022,Alabama,2021,15,2021/4/17,1167,1069,25,227,38,49,16,54,19,18,24,267,53,43,38
02/02/2022,Alabama,2021,16,2021/4/24,1105,1007,27,204,36,44,25,49,20,13,16,280,54,45,38
02/02/2022,Alabama,2021,17,2021/5/1,1192,1103,26,216,23,50,21,64,26,25,24,303,58,46,41
02/02/2022,Alabama,2021,18,2021/5/8,1152,1044,16,209,38,41,10,73,24,20,24,264,57,63,60
02/02/2022,Alabama,2021,19,2021/5/15,1095,989,20,180,24,48,15,69,16,30,22,272,59,50,46
02/02/2022,Alabama,2021,20,2021/5/22,1093,1005,16,184,22,59,17,56,16,17,19,288,51,49,39
02/02/2022,Alabama,2021,21,2021/5/29,1077,992,24,209,21,59,17,58,22,18,17,272,54,33,24
02/02/2022,Alabama,2021,22,2021/6/5,1082,982,18,184,23,46,20,65,20,19,19,289,61,36,31
02/02/2022,Alabama,2021,23,2021/6/12,1107,1006,19,199,24,61,18,60,25,15,18,274,68,34,31
02/02/2022,Alabama,2021,24,2021/6/19,1129,1020,24,218,27,35,21,55,12,32,16,268,63,24,17
02/02/2022,Alabama,2021,25,2021/6/26,1074,984,25,163,37,30,16,68,15,20,21,280,63,36,28
02/02/2022,Alabama,2021,26,2021/7/3,1060,951,22,203,25,47,13,45,13,22,26,251,72,21,20
02/02/2022,Alabama,2021,27,2021/7/10,1132,1022,24,206,19,47,19,45,19,16,18,304,57,37,34
02/02/2022,Alabama,2021,28,2021/7/17,1053,972,24,180,33,40,16,62,14,16,21,241,54,42,40
02/02/2022,Alabama,2021,29,2021/7/24,1101,989,23,188,38,46,14,74,15,28,26,258,41,63,57
02/02/2022,Alabama,2021,30,2021/7/31,1166,1082,26,193,29,52,18,55,15,23,30,269,49,108,102
02/02/2022,Alabama,2021,31,2021/8/7,1325,1222,20,196,33,42,15,55,12,19,25,293,70,226,212
02/02/2022,Alabama,2021,32,2021/8/14,1436,1350,20,220,36,50,12,65,26,19,22,285,71,345,327
02/02/2022,Alabama,2021,33,2021/8/21,1575,1482,21,199,34,48,20,78,13,26,22,324,60,420,401
02/02/2022,Alabama,2021,34,2021/8/28,1608,1542,20,195,48,55,12,67,13,16,42,314,68,474,456
02/02/2022,Alabama,2021,35,2021/9/4,1600,1499,18,184,34,42,22,50,19,31,32,297,59,495,474
02/02/2022,Alabama,2021,36,2021/9/11,1739,1646,26,188,33,49,33,68,18,23,36,323,84,546,529
02/02/2022,Alabama,2021,37,2021/9/18,1576,1483,17,194,25,62,22,62,17,22,28,310,54,469,451
02/02/2022,Alabama,2021,38,2021/9/25,1445,1346,22,188,31,60,15,48,12,21,25,250,65,409,393
02/02/2022,Alabama,2021,39,2021/10/2,1488,1387,20,207,30,42,18,64,11,22,29,271,61,364,348
02/02/2022,Alabama,2021,40,2021/10/9,1361,1276,26,195,32,51,21,66,19,17,31,315,63,258,246
02/02/2022,Alabama,2021,41,2021/10/16,1265,1168,16,212,31,50,17,48,17,21,31,229,67,214,201
02/02/2022,Alabama,2021,42,2021/10/23,1204,1114,32,190,22,45,26,63,21,18,36,251,59,154,139
02/02/2022,Alabama,2021,43,2021/10/30,1102,1008,13,185,29,43,12,49,15,22,33,262,44,98,91
02/02/2022,Alabama,2021,44,2021/11/6,1173,1089,23,192,42,51,25,62,17,20,37,268,67,84,73
02/02/2022,Alabama,2021,45,2021/11/13,1156,1098,27,222,28,47,14,70,17,23,40,252,58,84,76
02/02/2022,Alabama,2021,46,2021/11/20,1079,1024,16,175,40,48,11,65,26,23,29,242,62,48,42
02/02/2022,Alabama,2021,47,2021/11/27,1165,1087,25,198,30,57,25,70,16,18,34,264,65,56,49
02/02/2022,Alabama,2021,48,2021/12/4,1219,1128,34,202,28,52,,61,14,22,34,300,67,66,57
02/02/2022,Alabama,2021,49,2021/12/11,1206,1128,21,199,30,44,18,75,17,26,47,283,63,55,52
02/02/2022,Alabama,2021,50,2021/12/18,1100,1030,14,180,35,58,22,52,16,17,31,279,57,70,62
02/02/2022,Alabama,2021,51,2021/12/25,1060,997,25,159,26,47,22,52,18,26,26,269,56,70,62
02/02/2022,Alabama,2021,52,2022/1/1,1130,1065,28,183,20,62,21,83,,24,34,263,71,73,59
02/02/2022,Alabama,2022,1,2022/1/8,1089,1036,17,180,36,49,22,68,16,20,29,234,49,134,126
02/02/2022,Alabama,2022,2,2022/1/15,1041,1010,16,138,27,58,15,62,21,15,20,247,46,173,152
02/02/2022,Alabama,2022,3,2022/1/22,722,702,10,103,16,35,15,37,,16,14,160,27,148,133
02/02/2022,Alaska,2020,1,2020/1/4,89,71,,16,,,0,,0,,0,17,,0,0
02/02/2022,Alaska,2020,2,2020/1/11,105,93,,22,,,0,,,,0,24,,0,0
02/02/2022,Alaska,2020,3,2020/1/18,99,83,,21,,,0,,,,0,15,,0,0
02/02/2022,Alaska,2020,4,2020/1/25,97,82,,21,,,0,,0,,,19,,0,0
02/02/2022,Alaska,2020,5,2020/2/1,85,74,,17,,,,,,0,,20,,0,0
02/02/2022,Alaska,2020,6,2020/2/8,92,75,0,15,,,,,,,,22,,0,0
02/02/2022,Alaska,2020,7,2020/2/15,89,74,,20,,,0,,,,0,19,,0,0
02/02/2022,Alaska,2020,8,2020/2/22,83,64,,16,,,,,,0,,,,0,0
02/02/2022,Alaska,2020,9,2020/2/29,84,76,,18,,0,,,,,,14,,0,0
02/02/2022,Alaska,2020,10,2020/3/7,79,68,,20,0,,,,,,0,15,,0,0
02/02/2022,Alaska,2020,11,2020/3/14,92,80,,20,,0,,,,0,,22,,0,0
02/02/2022,Alaska,2020,12,2020/3/21,69,55,0,,,,,,,,,10,,0,0
02/02/2022,Alaska,2020,13,2020/3/28,86,75,,16,,,,,,,0,15,,,
02/02/2022,Alaska,2020,14,2020/4/4,98,84,,21,,,,,,0,0,14,,,
02/02/2022,Alaska,2020,15,2020/4/11,84,71,,15,,,,,,,,20,,,
02/02/2022,Alaska,2020,16,2020/4/18,80,71,0,17,,,,,0,,0,13,,,
02/02/2022,Alaska,2020,17,2020/4/25,61,55,,12,0,,,,,,0,12,0,0,0
02/02/2022,Alaska,2020,18,2020/5/2,87,78,,17,,,,,,0,,18,,0,0
